"Calculate Handling Fee","Calculate Handling Fee"
"Handling Fee","Handling Fee"
"Enabled","Enabled"
"Maximum Shipping Cost","Maximum Shipping Cost"
"Use Zipcode To/From Range","Use Zipcode To/From Range"
"Import","Import"
"Free Shipping Text","Free Shipping Text"
"Sort order","Sort order"
"Title","Title"
"Method name","Method name"
"Ship to applicable countries","Ship to applicable countries"
"Ship to Specific countries","Ship to Specific countries"
"Show method if not applicable","Show method if not applicable"
"Displayed Error Message","Displayed Error Message"
"Shipping Option","Shipping Option"
